date,model,upsampling,threshold,params,recall,precision,accuracy,f1,f1_weighted_2,f1_weighted_3,f1_weighted_4,test_recall,test_precision,test_accuracy,test_f1,test_f1_weighted_2,test_f1_weighted_3,test_f1_weighted_4
2024-04-01,LogisticRegression,none,0.3,"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",0.7204968944099379,0.3766233766233766,0.823134328358209,0.4946695095948827,0.6092436974789915,0.6602162777461582,0.6837725381414701,0.6578947368421053,0.3164556962025316,0.8005952380952381,0.4273504273504274,0.5411255411255411,0.5938242280285035,0.61863173216885
2024-04-01,LogisticRegression,none,0.3999999999999999,"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",0.5093167701863354,0.543046357615894,0.8895522388059701,0.5256410256410257,0.5157232704402516,0.5125000000000001,0.5111844517785111,0.4473684210526316,0.5,0.8869047619047619,0.4722222222222222,0.456989247311828,0.4521276595744681,0.4501557632398754
2024-04-01,LogisticRegression,none,0.5,"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",0.1677018633540372,0.8709677419354839,0.8970149253731343,0.28125,0.2,0.1824324324324324,0.1760644418872267,0.1052631578947368,1.0,0.8988095238095238,0.1904761904761905,0.1282051282051282,0.1156069364161849,0.1111111111111111
2024-04-01,LogisticRegression,none,0.6,"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",0.0,0.0,0.8798507462686567,0.0,,,,0.0,0.0,0.8869047619047619,0.0,,,
2024-04-01,LogisticRegression,none,0.7,"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",0.0,0.0,0.8798507462686567,0.0,,,,0.0,0.0,0.8869047619047619,0.0,,,
2024-04-01,LogisticRegression,undersample,0.3,"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",0.9813664596273292,0.5302013422818792,0.5559006211180124,0.6884531590413945,0.8386411889596603,0.90440755580996,0.9345859429366736,0.9210526315789472,0.1241134751773049,0.2559523809523809,0.21875,0.4032258064516128,0.5608974358974359,0.6685393258426966
2024-04-01,LogisticRegression,undersample,0.3999999999999999,"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",0.9751552795031057,0.5946969696969697,0.65527950310559,0.7388235294117648,0.8645374449339207,0.9165207238762404,0.9397887323943662,0.8947368421052632,0.1459227467811159,0.3958333333333333,0.2509225092250923,0.4415584415584416,0.5913043478260871,0.6872770511296077
2024-04-01,LogisticRegression,undersample,0.5,"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",0.9006211180124224,0.7142857142857143,0.7701863354037267,0.7967032967032969,0.8559622195985833,0.8777239709443101,0.8870097157250811,0.7631578947368421,0.1933333333333333,0.6130952380952381,0.3085106382978723,0.4801324503311258,0.589430894308943,0.6503957783641161
2024-04-01,LogisticRegression,undersample,0.6,"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",0.6832298136645962,0.8333333333333334,0.7732919254658385,0.7508532423208192,0.7087628865979381,0.6957621758380772,0.6905465288035451,0.6842105263157895,0.3714285714285714,0.8333333333333334,0.4814814814814815,0.5855855855855856,0.6310679611650485,0.6519174041297935
2024-04-01,LogisticRegression,undersample,0.7,"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",0.3105590062111801,0.9615384615384616,0.6490683229813664,0.4694835680751173,0.3591954022988505,0.3331112591605596,0.3234398782343988,0.2105263157894736,0.6666666666666666,0.8988095238095238,0.32,0.2439024390243902,0.2259887005649717,0.2193548387096774
2024-04-01,LogisticRegression,oversample,0.3,"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",0.9601357082273112,0.6359550561797753,0.7052586938083121,0.7651233524839472,0.871305418719212,0.913566298119603,0.9321836853323,0.868421052631579,0.1683673469387755,0.5,0.282051282051282,0.4741379310344827,0.6133828996282528,0.6977611940298507
2024-04-01,LogisticRegression,oversample,0.3999999999999999,"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",0.9202714164546224,0.70822454308094,0.770568278201866,0.800442641091848,0.8682778489116518,0.8935188997776498,0.9043439890174544,0.7631578947368421,0.1907894736842105,0.6071428571428571,0.3052631578947368,0.4769736842105263,0.5870445344129555,0.6486842105263159
2024-04-01,LogisticRegression,oversample,0.5,"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",0.8498727735368957,0.7914691943127962,0.8129770992366412,0.8196319018404907,0.8375125376128385,0.8436473857034605,0.8461997019374069,0.7105263157894737,0.25,0.7261904761904762,0.3698630136986301,0.5192307692307692,0.6,0.6410614525139665
2024-04-01,LogisticRegression,oversample,0.6,"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",0.7353689567430025,0.8376811594202899,0.7964376590330788,0.7831978319783198,0.7537819509650495,0.7444616177228232,0.7406904869591436,0.6578947368421053,0.3205128205128205,0.8035714285714286,0.4310344827586207,0.5434782608695652,0.5952380952380952,0.619533527696793
