date,model,upsampling,threshold,params,recall,precision,accuracy,f1,f1_weighted_2,f1_weighted_3,f1_weighted_4,test_recall,test_precision,test_accuracy,test_f1,test_f1_weighted_2,test_f1_weighted_3,test_f1_weighted_4,"['Age', 'BusinessTravel', 'DailyRate', 'Department', 'DistanceFromHome', 'Education', 'EmployeeCount', 'EnvironmentSatisfaction', 'Gender', 'HourlyRate', 'JobInvolvement', 'JobRole', 'JobSatisfaction', 'MaritalStatus', 'MonthlyIncome', 'MonthlyRate', 'NumCompaniesWorked', 'Over18', 'OverTime', 'PercentSalaryHike', 'PerformanceRating', 'RelationshipSatisfaction', 'StandardHours', 'Shift', 'TotalWorkingYears', 'TrainingTimesLastYear', 'WorkLifeBalance', 'YearsAtCompany', 'YearsInCurrentRole', 'YearsSinceLastPromotion', 'YearsWithCurrManager']"
2024-04-18,LogisticRegression,none,0.1,"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",0.9937888198757764,0.1884570082449941,0.4850746268656716,0.3168316831683168,0.5358338914936369,0.6962576153176675,0.7941605839416058,0.9210526315789472,0.1732673267326732,0.494047619047619,0.2916666666666667,0.4943502824858757,0.6433823529411765,0.7345679012345679,
2024-04-18,LogisticRegression,none,0.3,"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",0.7391304347826086,0.5833333333333334,0.905223880597015,0.6520547945205479,0.7016509433962264,0.7199032062915911,0.7276978417266186,0.7894736842105263,0.6122448979591837,0.9196428571428572,0.6896551724137931,0.7462686567164178,0.7672634271099744,0.776255707762557,
2024-04-18,LogisticRegression,none,0.5,"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",0.2111801242236025,0.918918918918919,0.9029850746268656,0.3434343434343435,0.2496328928046989,0.2288021534320323,0.221201683888251,0.2105263157894736,1.0,0.9107142857142856,0.3478260869565217,0.25,0.2285714285714285,0.2207792207792207,
2024-04-18,LogisticRegression,none,0.7,"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",0.0186335403726708,1.0,0.8820895522388059,0.0365853658536585,0.0231839258114374,0.0206611570247933,0.0197751066304769,0.0,0.0,0.8869047619047619,0.0,,,,
2024-04-18,LogisticRegression,undersample,0.1,"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",1.0,0.509493670886076,0.5186335403726708,0.6750524109014675,0.8385416666666667,0.9121813031161472,0.9464038727524204,0.9736842105263158,0.1152647975077881,0.1517857142857142,0.2061281337047353,0.3911205073995772,0.5580693815987934,0.6770721205597418,
2024-04-18,LogisticRegression,undersample,0.3,"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",1.0,0.5985130111524164,0.6645962732919255,0.7488372093023256,0.8817086527929902,0.9371362048894064,0.9620386643233744,0.9473684210526316,0.1493775933609958,0.3839285714285714,0.2580645161290322,0.4580152671755725,0.6174957118353345,0.7208480565371024,
2024-04-18,LogisticRegression,undersample,0.5,"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",0.9130434782608696,0.7696335078534031,0.8198757763975155,0.8352272727272726,0.8802395209580838,0.8963414634146342,0.9031441994940368,0.8421052631578947,0.2480620155038759,0.6934523809523809,0.3832335329341317,0.5693950177935942,0.6794055201698513,0.7381275440976932,
2024-04-18,LogisticRegression,undersample,0.7,"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",0.484472049689441,0.9629629629629628,0.7329192546583851,0.6446280991735537,0.5379310344827586,0.5098039215686274,0.499059089198344,0.6052631578947368,0.8214285714285714,0.9404761904761904,0.6969696969696969,0.638888888888889,0.6216216216216216,0.6147798742138365,
2024-04-18,LogisticRegression,oversample,0.1,"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",1.0,0.5897948974487244,0.6522476675148431,0.7419760855884204,0.8778853313477291,0.9349722442505948,0.9606959689402292,0.9736842105263158,0.1554621848739495,0.3988095238095238,0.2681159420289855,0.4743589743589743,0.6379310344827587,0.743498817966903,
2024-04-18,LogisticRegression,oversample,0.3,"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",0.9821882951653944,0.72375,0.8036471586089907,0.8333933069449442,0.916719442685244,0.9483252804848088,0.9619820172009385,0.9210526315789472,0.2413793103448276,0.6636904761904762,0.3825136612021858,0.5892255892255892,0.7186858316221766,0.7901726427622842,
2024-04-18,LogisticRegression,oversample,0.5,"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",0.9151823579304496,0.8383838383838383,0.8693808312128923,0.8751013787510138,0.8987173080126604,0.906875105059674,0.910277405587812,0.8421052631578947,0.4155844155844156,0.8482142857142857,0.5565217391304348,0.6986899563318778,0.7637231503579952,0.7941605839416059,
2024-04-18,LogisticRegression,oversample,0.7,"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",0.7718405428329093,0.9391124871001032,0.8608990670059372,0.8472998137802608,0.8003518029903256,0.7858376511226254,0.7800131094640247,0.7368421052631579,0.6086956521739131,0.9166666666666666,0.6666666666666666,0.707070707070707,0.7216494845360825,0.72782874617737,
