date,model,upsampling,threshold,recall,precision,accuracy,f1,f1_weighted_2,f1_weighted_3,f1_weighted_4,test_recall,test_precision,test_accuracy,test_f1,test_f1_weighted_2,test_f1_weighted_3,test_f1_weighted_4
2024-03-31,LogisticRegression,none,0.1,0.9937888198757764,0.1916167664670658,0.4955223880597015,0.321285140562249,0.5409060175794457,0.7005253940455343,0.7974201114042803,0.9210526315789472,0.1741293532338308,0.4970238095238095,0.2928870292887029,0.4957507082152975,0.6445672191528545,0.7354758961681088
2024-03-31,LogisticRegression,none,0.2,0.9006211180124224,0.3580246913580246,0.7940298507462686,0.5123674911660777,0.6911344137273594,0.7820927723840345,0.8269037235826905,0.8421052631578947,0.3595505617977528,0.8125,0.5039370078740157,0.6639004149377593,0.7424593967517401,0.7804878048780487
2024-03-31,LogisticRegression,none,0.3,0.7204968944099379,0.6170212765957447,0.9126865671641792,0.664756446991404,0.6971153846153847,0.708613317043372,0.7134587554269175,0.7894736842105263,0.6382978723404256,0.925595238095238,0.7058823529411764,0.7537688442211055,0.7712082262210798,0.7786259541984734
2024-03-31,LogisticRegression,none,0.4,0.4347826086956521,0.813953488372093,0.9201492537313432,0.5668016194331984,0.4794520547945205,0.4560260586319218,0.4470323065364387,0.5526315789473685,0.9130434782608696,0.9434523809523808,0.6885245901639344,0.6000000000000001,0.5753424657534247,0.5657686212361331
2024-03-31,LogisticRegression,none,0.5,0.2360248447204969,0.926829268292683,0.9059701492537312,0.3762376237623762,0.2773722627737226,0.2550335570469799,0.2468475353458158,0.2368421052631578,1.0,0.9136904761904762,0.3829787234042552,0.2795031055900621,0.2564102564102564,0.2479740680713128
2024-03-31,LogisticRegression,none,0.6,0.093167701863354,1.0,0.891044776119403,0.1704545454545454,0.1138088012139605,0.1024590163934426,0.0984175993824778,0.0,0.0,0.8869047619047619,0.0,,,
2024-03-31,LogisticRegression,none,0.7000000000000001,0.0186335403726708,1.0,0.8820895522388059,0.0365853658536585,0.0231839258114374,0.0206611570247933,0.0197751066304769,0.0,0.0,0.8869047619047619,0.0,,,
2024-03-31,LogisticRegression,none,0.8,0.0,0.0,0.8798507462686567,0.0,,,,0.0,0.0,0.8869047619047619,0.0,,,
2024-03-31,LogisticRegression,none,0.9,0.0,0.0,0.8798507462686567,0.0,,,,0.0,0.0,0.8869047619047619,0.0,,,
2024-03-31,LogisticRegression,undersample,0.1,1.0,0.509493670886076,0.5186335403726708,0.6750524109014675,0.8385416666666667,0.9121813031161472,0.9464038727524204,0.9736842105263158,0.115625,0.1547619047619047,0.2067039106145251,0.3919491525423729,0.5589123867069486,0.677801724137931
2024-03-31,LogisticRegression,undersample,0.2,1.0,0.5244299674267101,0.546583850931677,0.688034188034188,0.8464773922187171,0.9168564920273348,0.9493583073187652,0.9736842105263158,0.130281690140845,0.2619047619047619,0.2298136645962732,0.4243119266055046,0.5910543130990414,0.7051569506726457
2024-03-31,LogisticRegression,undersample,0.3,0.9937888198757764,0.5947955390334573,0.6583850931677019,0.7441860465116279,0.8762322015334063,0.9313154831199068,0.9560632688927944,0.9473684210526316,0.1512605042016806,0.3928571428571428,0.2608695652173913,0.4615384615384615,0.6206896551724137,0.7234042553191489
2024-03-31,LogisticRegression,undersample,0.4,0.9751552795031057,0.6624472573839663,0.7391304347826086,0.7889447236180903,0.8910329171396141,0.9311981020166072,0.9488091006043368,0.8947368421052632,0.1847826086956521,0.5416666666666666,0.3063063063063063,0.5059523809523809,0.6463878326996197,0.7297979797979798
2024-03-31,LogisticRegression,undersample,0.5,0.9192546583850932,0.7708333333333334,0.8229813664596274,0.838526912181303,0.8851674641148325,0.9018890920170628,0.9089595375722542,0.868421052631579,0.2661290322580645,0.7142857142857143,0.4074074074074074,0.5978260869565217,0.7081545064377682,0.7663934426229508
2024-03-31,LogisticRegression,undersample,0.6,0.8012422360248447,0.8716216216216216,0.8416149068322981,0.8349514563106796,0.8143939393939393,0.8077645585472761,0.8050660792951542,0.7631578947368421,0.4264705882352941,0.8571428571428571,0.5471698113207547,0.659090909090909,0.7073170731707316,0.7292899408284024
2024-03-31,LogisticRegression,undersample,0.7000000000000001,0.4906832298136646,0.9634146341463414,0.7360248447204969,0.6502057613168725,0.5440771349862259,0.5160026126714566,0.5052671181339353,0.6052631578947368,0.8518518518518519,0.9434523809523808,0.7076923076923076,0.6424581005586592,0.6233062330623306,0.615748031496063
2024-03-31,LogisticRegression,undersample,0.8,0.1304347826086956,1.0,0.5652173913043478,0.2307692307692307,0.1578947368421052,0.1428571428571428,0.137466307277628,0.1052631578947368,1.0,0.8988095238095238,0.1904761904761905,0.1282051282051282,0.1156069364161849,0.1111111111111111
2024-03-31,LogisticRegression,undersample,0.9,0.0062111801242236,1.0,0.5031055900621118,0.0123456790123456,0.0077519379844961,0.0068965517241379,0.0065968180054326,0.0,0.0,0.8869047619047619,0.0,,,
2024-03-31,LogisticRegression,oversample,0.1,1.0,0.5927601809954751,0.6564885496183206,0.7443181818181818,0.8791946308724833,0.9357142857142858,0.9611566681053084,0.9736842105263158,0.1548117154811715,0.3958333333333333,0.2671480144404332,0.4731457800511509,0.6368330464716007,0.742621015348288
2024-03-31,LogisticRegression,oversample,0.2,0.9949109414758268,0.660472972972973,0.7417302798982188,0.7939086294416244,0.903419593345656,0.946960523129087,0.9661337209302324,0.9210526315789472,0.1871657754010695,0.5386904761904762,0.311111111111111,0.5162241887905604,0.661625708884688,0.7484276729559748
2024-03-31,LogisticRegression,oversample,0.3,0.9779474130619168,0.7269861286254728,0.8053435114503816,0.833996383363472,0.91478895588702,0.9453144215790767,0.958484107579462,0.9210526315789472,0.2447552447552447,0.6696428571428571,0.3867403314917127,0.5932203389830508,0.7216494845360825,0.792276964047936
2024-03-31,LogisticRegression,oversample,0.4,0.9474130619168788,0.7916371367824239,0.8490245971162002,0.8625482625482626,0.9115390892769708,0.9291299284644816,0.9365721331689272,0.8947368421052632,0.2982456140350877,0.75,0.4473684210526316,0.6390977443609023,0.7456140350877193,0.8005540166204987
2024-03-31,LogisticRegression,oversample,0.5,0.916030534351145,0.8404669260700389,0.8710771840542832,0.8766233766233766,0.8998500249958339,0.9078681909885676,0.9112114745148642,0.8421052631578947,0.4102564102564102,0.8452380952380952,0.5517241379310346,0.6956521739130435,0.7619047619047619,0.793002915451895
2024-03-31,LogisticRegression,oversample,0.6,0.8651399491094147,0.8963093145869947,0.8825275657336726,0.880448856279672,0.8711991800478306,0.86815899225466,0.8669133086691331,0.8421052631578947,0.5161290322580645,0.8928571428571429,0.6399999999999999,0.747663551401869,0.792079207920792,0.8119402985074626
