date,model,upsampling,threshold,params,recall,precision,accuracy,f1,f1_weighted_2,f1_weighted_3,f1_weighted_4,test_recall,test_precision,test_accuracy,test_f1,test_f1_weighted_2,test_f1_weighted_3,test_f1_weighted_4
2024-03-31,LogisticRegression,none,0.1,"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",0.9937888198757764,0.1916167664670658,0.4955223880597015,0.321285140562249,0.5409060175794457,0.7005253940455343,0.7974201114042803,0.9210526315789472,0.1741293532338308,0.4970238095238095,0.2928870292887029,0.4957507082152975,0.6445672191528545,0.7354758961681088
2024-03-31,LogisticRegression,none,0.2,"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",0.9006211180124224,0.3580246913580246,0.7940298507462686,0.5123674911660777,0.6911344137273594,0.7820927723840345,0.8269037235826905,0.8421052631578947,0.3595505617977528,0.8125,0.5039370078740157,0.6639004149377593,0.7424593967517401,0.7804878048780487
2024-03-31,LogisticRegression,none,0.3,"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",0.7204968944099379,0.6170212765957447,0.9126865671641792,0.664756446991404,0.6971153846153847,0.708613317043372,0.7134587554269175,0.7894736842105263,0.6382978723404256,0.925595238095238,0.7058823529411764,0.7537688442211055,0.7712082262210798,0.7786259541984734
2024-03-31,LogisticRegression,none,0.4,"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",0.4347826086956521,0.813953488372093,0.9201492537313432,0.5668016194331984,0.4794520547945205,0.4560260586319218,0.4470323065364387,0.5526315789473685,0.9130434782608696,0.9434523809523808,0.6885245901639344,0.6000000000000001,0.5753424657534247,0.5657686212361331
2024-03-31,LogisticRegression,none,0.5,"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",0.2360248447204969,0.926829268292683,0.9059701492537312,0.3762376237623762,0.2773722627737226,0.2550335570469799,0.2468475353458158,0.2368421052631578,1.0,0.9136904761904762,0.3829787234042552,0.2795031055900621,0.2564102564102564,0.2479740680713128
2024-03-31,LogisticRegression,none,0.6,"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",0.093167701863354,1.0,0.891044776119403,0.1704545454545454,0.1138088012139605,0.1024590163934426,0.0984175993824778,0.0,0.0,0.8869047619047619,0.0,,,
2024-03-31,LogisticRegression,none,0.7000000000000001,"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",0.0186335403726708,1.0,0.8820895522388059,0.0365853658536585,0.0231839258114374,0.0206611570247933,0.0197751066304769,0.0,0.0,0.8869047619047619,0.0,,,
2024-03-31,LogisticRegression,none,0.8,"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",0.0,0.0,0.8798507462686567,0.0,,,,0.0,0.0,0.8869047619047619,0.0,,,
2024-03-31,LogisticRegression,none,0.9,"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",0.0,0.0,0.8798507462686567,0.0,,,,0.0,0.0,0.8869047619047619,0.0,,,
2024-03-31,LogisticRegression,undersample,0.1,"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",1.0,0.509493670886076,0.5186335403726708,0.6750524109014675,0.8385416666666667,0.9121813031161472,0.9464038727524204,0.9736842105263158,0.115625,0.1547619047619047,0.2067039106145251,0.3919491525423729,0.5589123867069486,0.677801724137931
2024-03-31,LogisticRegression,undersample,0.2,"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",1.0,0.5244299674267101,0.546583850931677,0.688034188034188,0.8464773922187171,0.9168564920273348,0.9493583073187652,0.9736842105263158,0.130281690140845,0.2619047619047619,0.2298136645962732,0.4243119266055046,0.5910543130990414,0.7051569506726457
2024-03-31,LogisticRegression,undersample,0.3,"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",0.9937888198757764,0.5947955390334573,0.6583850931677019,0.7441860465116279,0.8762322015334063,0.9313154831199068,0.9560632688927944,0.9473684210526316,0.1512605042016806,0.3928571428571428,0.2608695652173913,0.4615384615384615,0.6206896551724137,0.7234042553191489
2024-03-31,LogisticRegression,undersample,0.4,"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",0.9751552795031057,0.6624472573839663,0.7391304347826086,0.7889447236180903,0.8910329171396141,0.9311981020166072,0.9488091006043368,0.8947368421052632,0.1847826086956521,0.5416666666666666,0.3063063063063063,0.5059523809523809,0.6463878326996197,0.7297979797979798
2024-03-31,LogisticRegression,undersample,0.5,"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",0.9192546583850932,0.7708333333333334,0.8229813664596274,0.838526912181303,0.8851674641148325,0.9018890920170628,0.9089595375722542,0.868421052631579,0.2661290322580645,0.7142857142857143,0.4074074074074074,0.5978260869565217,0.7081545064377682,0.7663934426229508
